trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 0.75, 'e': 0.9046104802746175}",30,0,-196.79519216362095,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
21,False,"{'a': 0.75, 'e': 0.9000874278732445}",20,14,10.47825489619148,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.75, 'e': 0.8955869907338783}",20,4,-74.32648564601037,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
23,False,"{'a': 0.75, 'e': 0.8911090557802088}",20,0,-97.30343735880444,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.75, 'e': 0.8866535105013078}",20,0,-105.5771201249497,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",1
25,False,"{'a': 0.75, 'e': 0.8822202429488013}",20,0,-124.28277721305035,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.75, 'e': 0.8778091417340573}",20,0,-108.60623169977293,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.75, 'e': 0.8734200960253871}",25,0,-136.59045300226416,"{0: 10, 1: 3, 2: 11, 3: 1, 4: 0}",0
28,False,"{'a': 0.75, 'e': 0.8690529955452602}",20,0,-22.388747735071306,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.75, 'e': 0.8647077305675338}",25,0,-33.328340234111195,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.75, 'e': 0.8603841919146962}",30,0,-223.3001377729028,"{0: 16, 1: 4, 2: 4, 3: 3, 4: 3}",0
31,False,"{'a': 0.75, 'e': 0.8560822709551227}",25,0,-103.71115895068677,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.75, 'e': 0.851801859600347}",30,0,-183.70121276481484,"{0: 15, 1: 6, 2: 6, 3: 0, 4: 3}",0
33,False,"{'a': 0.75, 'e': 0.8475428503023453}",25,0,-91.49108418202802,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.75, 'e': 0.8433051360508336}",30,0,-71.4178889064718,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
35,False,"{'a': 0.75, 'e': 0.8390886103705794}",20,0,-73.3108000609494,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.75, 'e': 0.8348931673187264}",20,0,-32.44446860656027,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
